Konzern;Marke
VW-Konzern;volkswagen
VW-Konzern;audi
VW-Konzern;bentley
VW-Konzern;bugatti
VW-Konzern;lamborghini
VW-Konzern;porsche
VW-Konzern;seat
VW-Konzern;skoda
Fiat-Chrysler-Konzern;fiat
Fiat-Chrysler-Konzern;chrysler
Fiat-Chrysler-Konzern;alfa_romeo
Fiat-Chrysler-Konzern;ferrari
Fiat-Chrysler-Konzern;jeep
Fiat-Chrysler-Konzern;dodge
Fiat-Chrysler-Konzern;maserati
Fiat-Chrysler-Konzern;lancia
BMW-Konzern;bmw
BMW-Konzern;mini
BMW-Konzern;rolls-royce
General Motors-Konzern;gmc
General Motors-Konzern;chevrolet
General Motors-Konzern;cadillac
General Motors-Konzern;corvette
General Motors-Konzern;buick
General Motors-Konzern;pontiac
General Motors-Konzern;hummer
General Motors-Konzern;saab
General Motors-Konzern;daewoo
Daimler-Konzern;mercedes
Daimler-Konzern;smart
Renault-Nissan-Gruppe;renault
Renault-Nissan-Gruppe;dacia
Renault-Nissan-Gruppe;nissan
Renault-Nissan-Gruppe;infiniti
Renault-Nissan-Gruppe;opel
Renault-Nissan-Gruppe;mitsubishi
Renault-Nissan-Gruppe;lada
PSA Peugeot Citroen-Konzern; peugeot
PSA Peugeot Citroen-Konzern;citroen
Toyota-Konzern;toyota
Toyota-Konzern;lexus
Toyota-Konzern;daihatsu
Hyundai-Konzern;hyundai
Hyundai-Konzern;kia
Ford-Konzern;ford
Geely-Konzern;volvo
Honda-Konzern;honda
Suzuki-Konzern;suzuki
Subaru-Konzern;subaru
Tata Motors-Konzern;land_rover
Tata Motors-Konzern;jaguar
Tata Motors-Konzern;rover
Mazda-Konzern;mazda
Aufgelöste-Konzerne;trabant
Aufgelöste-Konzerne;saab